2018-11-14 15:08:16;	1;100;0;	2;138;75;	3;134;21494366475;	4;100;496;	5;100;0;	7;100;0;	8;124;33;	9;99;11588;	10;100;0;	12;100;300;	192;100;1077;	193;100;1077;	194;171;180389150755;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2018-11-14 15:38:22;	1;100;0;	2;138;75;	3;134;21494366475;	4;100;496;	5;100;0;	7;100;0;	8;124;33;	9;99;11589;	10;100;0;	12;100;300;	192;100;1077;	193;100;1077;	194;166;180389150756;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2018-11-14 16:08:17;	1;100;0;	2;138;75;	3;134;21494366475;	4;100;496;	5;100;0;	7;100;0;	8;124;33;	9;99;11589;	10;100;0;	12;100;300;	192;100;1077;	193;100;1077;	194;166;180389150756;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2018-11-14 16:38:21;	1;100;0;	2;138;75;	3;134;21494366475;	4;100;496;	5;100;0;	7;100;0;	8;124;33;	9;99;11590;	10;100;0;	12;100;300;	192;100;1077;	193;100;1077;	194;162;180389150757;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2018-11-14 17:08:17;	1;100;0;	2;138;75;	3;134;21494366475;	4;100;496;	5;100;0;	7;100;0;	8;124;33;	9;99;11590;	10;100;0;	12;100;300;	192;100;1077;	193;100;1077;	194;166;180389150756;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2018-11-14 17:38:17;	1;100;1;	2;138;75;	3;134;21494366475;	4;100;496;	5;100;0;	7;100;0;	8;124;33;	9;99;11591;	10;100;0;	12;100;300;	192;100;1077;	193;100;1077;	194;166;180389150756;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2018-11-14 18:08:17;	1;100;1;	2;138;75;	3;134;21494366475;	4;100;496;	5;100;0;	7;100;0;	8;124;33;	9;99;11591;	10;100;0;	12;100;300;	192;100;1077;	193;100;1077;	194;166;180389150756;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2018-11-14 18:38:17;	1;100;0;	2;138;74;	3;134;21494366475;	4;100;496;	5;100;0;	7;100;0;	8;124;33;	9;99;11592;	10;100;0;	12;100;300;	192;100;1077;	193;100;1077;	194;171;180389150755;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2018-11-14 19:08:17;	1;100;0;	2;138;74;	3;134;21494366475;	4;100;496;	5;100;0;	7;100;0;	8;124;33;	9;99;11592;	10;100;0;	12;100;300;	192;100;1077;	193;100;1077;	194;171;180389150755;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
2018-11-14 19:38:17;	1;100;0;	2;138;74;	3;134;21494366475;	4;100;496;	5;100;0;	7;100;0;	8;124;33;	9;99;11593;	10;100;0;	12;100;300;	192;100;1077;	193;100;1077;	194;176;180389150754;	196;100;0;	197;100;0;	198;100;0;	199;200;0;
